log_id,district,crop_type,growth_stage,kc_value,t_max_c,t_min_c,solar_rad_mjm2,et0_mm_day,crop_water_need_mm_day,rain_7d_mm,effective_rain_mm,recommended_irrigation_mm_week,recommended_irrigation_liters_acre,n_deficit_kg_acre,p_deficit_kg_acre,k_deficit_kg_acre,urea_kg_acre,dap_kg_acre,mop_kg_acre
27,Tirunelveli,Maize,Mid-season,1.2,29.9,20.7,19.6,5.91,7.09,13.7,13.4,36.2,146425.0,0.0,20.3,0.5,0.0,44.2,0.8
28,Vellore,Rice,Mid-season,1.2,34.8,28.5,21.7,6.17,7.41,0.2,0.2,51.7,209050.0,0.0,42.1,0.0,0.0,91.5,0.0
29,Kovilpatti,Millets,Development,0.65,33.2,25.5,20.5,6.16,4.0,6.7,6.7,21.4,86428.0,0.0,46.2,0.0,0.0,100.5,0.0
30,Krishnagiri,Groundnut,Mid-season,1.1,31.4,22.3,22.9,7.07,7.77,3.1,3.1,51.3,207786.0,0.0,49.6,0.0,0.0,107.8,0.0
31,Nilgiris,Turmeric,Late-season,0.98,33.3,24.8,20.8,6.54,6.37,4.8,4.7,39.9,161440.0,59.4,47.3,0.0,129.1,102.8,0.0
32,Nilgiris,Sunflower,Initial,0.35,35.4,27.2,21.9,7.09,2.48,3.5,3.4,13.9,56341.0,0.0,14.7,0.0,0.0,31.9,0.0
33,Nilgiris,Sesamum,Late-season,0.68,31.6,25.2,19.7,5.27,3.56,34.5,32.6,0.0,0.0,68.7,38.5,0.0,149.3,83.7,0.0
34,Kovilpatti,Sorghum,Initial,0.3,32.4,24.4,18.9,5.68,1.7,0.5,0.5,11.5,46397.0,23.4,48.2,0.0,50.9,104.9,0.0
35,Krishnagiri,Sesamum,Late-season,0.68,33.7,27.4,19.0,5.31,3.58,6.5,6.4,18.7,75657.0,4.3,36.7,0.0,9.4,79.8,0.0
36,Coimbatore,Sesamum,Late-season,0.68,35.9,26.0,18.6,6.53,4.41,0.9,0.9,30.0,121236.0,36.6,30.7,0.0,79.6,66.7,0.0
37,Madurai,Sesamum,Development,0.73,31.5,24.4,18.9,5.29,3.84,4.2,4.2,22.7,91682.0,52.7,47.9,0.0,114.5,104.2,0.0
38,Kovilpatti,Banana,Initial,0.5,34.9,28.8,22.5,6.37,3.18,34.9,33.0,0.0,0.0,9.5,50.9,31.7,20.7,110.6,52.8
39,Kovilpatti,Rice,Initial,1.05,33.7,25.5,17.5,5.46,5.73,11.1,10.9,29.2,118196.0,0.0,20.5,0.0,0.0,44.6,0.0
40,Coimbatore,Sorghum,Development,0.68,35.4,28.6,20.0,5.99,4.04,0.4,0.4,27.9,113014.0,27.0,33.5,6.7,58.6,72.7,11.1
41,Tirunelveli,Onion,Late-season,0.9,29.9,23.8,18.2,4.62,4.16,11.3,11.1,18.1,73140.0,0.0,24.7,0.0,0.0,53.7,0.0
42,Kovilpatti,Coconut,Mid-season,1.0,32.0,23.8,21.6,6.49,6.49,2.8,2.8,42.6,172552.0,38.2,26.6,0.0,83.0,57.8,0.0
43,Thanjavur,Turmeric,Initial,0.3,33.4,26.0,17.6,5.21,1.56,1.9,1.9,9.1,36726.0,60.3,26.6,51.7,131.1,57.9,86.2
44,Trichy,Maize,Mid-season,1.2,39.1,31.4,19.1,6.46,7.75,28.9,27.6,26.7,107871.0,12.2,29.9,0.0,26.5,65.0,0.0
45,Kovilpatti,Sugarcane,Mid-season,1.25,26.6,17.0,20.5,5.79,7.23,1.1,1.1,49.5,200403.0,55.1,36.1,0.0,119.9,78.4,0.0
46,Nilgiris,Sunflower,Late-season,0.75,30.3,24.0,19.5,5.08,3.81,6.2,6.1,20.6,83320.0,31.5,34.1,0.0,68.6,74.2,0.0
47,Trichy,Onion,Initial,0.7,34.2,24.8,16.6,5.55,3.88,11.1,10.9,16.3,65961.0,8.5,39.3,0.0,18.4,85.5,0.0
48,Vellore,Sunflower,Mid-season,1.15,31.5,24.6,18.0,4.99,5.73,3.5,3.5,36.6,148314.0,67.2,43.0,0.0,146.2,93.5,0.0
49,Thanjavur,Cotton,Mid-season,1.15,28.4,18.8,15.6,4.6,5.29,7.5,7.4,29.7,120045.0,0.0,25.7,0.0,0.0,56.0,0.0
50,Vellore,Onion,Initial,0.7,32.4,25.3,19.1,5.49,3.84,4.2,4.2,22.7,91854.0,61.8,44.5,0.0,134.4,96.8,0.0
51,Nilgiris,Pulses,Mid-season,1.1,33.3,25.0,21.3,6.61,7.27,2.6,2.6,48.3,195305.0,25.6,21.1,0.0,55.6,45.9,0.0
52,Vellore,Onion,Development,0.88,27.6,19.3,18.8,5.14,4.5,6.1,6.0,25.5,103108.0,5.2,15.7,22.7,11.2,34.1,37.8
53,Vellore,Rice,Initial,1.05,32.8,24.4,15.9,4.93,5.18,12.7,12.4,23.8,96513.0,60.8,38.1,0.0,132.2,82.7,0.0
54,Vellore,Banana,Mid-season,1.1,29.3,22.5,18.0,4.73,5.2,13.5,13.2,23.2,93969.0,4.0,47.2,0.0,8.6,102.6,0.0
55,Tirunelveli,Maize,Development,0.75,31.0,23.8,12.3,3.43,2.57,11.0,10.8,7.2,29140.0,50.8,49.0,0.0,110.5,106.6,0.0
56,Kovilpatti,Pulses,Late-season,0.73,35.5,27.0,16.4,5.39,3.9,12.6,12.4,14.9,60490.0,54.1,42.8,0.0,117.5,93.1,0.0
57,Tirunelveli,Chili,Development,0.82,37.5,28.0,20.2,7.25,5.98,3.3,3.3,38.5,155892.0,0.0,42.7,0.0,0.0,92.8,0.0
58,Vellore,Millets,Mid-season,1.0,31.3,24.3,15.8,4.4,4.4,19.1,18.5,12.2,49527.0,17.9,55.0,0.0,38.9,119.5,0.0
59,Trichy,Onion,Initial,0.7,35.6,27.2,16.2,5.3,3.71,0.9,0.9,25.1,101670.0,0.0,43.2,0.0,0.0,93.9,0.0
60,Trichy,Groundnut,Development,0.75,31.5,23.1,23.2,6.99,5.24,1.8,1.8,34.8,140975.0,0.0,28.2,0.0,0.0,61.4,0.0
61,Trichy,Rice,Mid-season,1.2,35.5,27.2,18.9,6.17,7.4,0.3,0.3,51.5,208586.0,0.0,24.5,30.1,0.0,53.3,50.1
62,Vellore,Sunflower,Initial,0.35,33.8,25.2,18.2,5.82,2.04,0.7,0.7,13.6,54850.0,44.1,15.5,0.0,96.0,33.7,0.0
63,Tirunelveli,Sorghum,Development,0.68,39.8,32.3,17.3,5.86,3.96,14.5,14.2,13.5,54794.0,51.7,30.4,0.0,112.4,66.0,0.0
64,Krishnagiri,Coconut,Initial,1.0,38.5,31.1,19.3,6.33,6.33,2.5,2.5,41.8,169140.0,40.5,51.8,0.0,88.0,112.6,0.0
65,Vellore,Chili,Development,0.82,28.1,21.3,20.0,5.1,4.21,5.6,5.6,23.9,96663.0,55.1,39.2,0.0,119.8,85.2,0.0
66,Tirunelveli,Onion,Mid-season,1.05,33.5,24.3,18.2,5.93,6.23,3.1,3.1,40.5,163765.0,55.6,46.2,0.0,120.9,100.4,0.0
67,Nilgiris,Millets,Mid-season,1.0,34.6,26.1,19.8,6.39,6.39,3.3,3.3,41.4,167713.0,7.7,44.6,0.0,16.6,97.0,0.0
68,Nagapattinam,Pulses,Mid-season,1.1,31.0,24.5,19.9,5.29,5.82,5.1,5.1,35.7,144283.0,9.2,42.6,28.5,20.0,92.7,47.5
69,Coimbatore,Groundnut,Development,0.75,30.0,23.5,24.6,6.43,4.82,18.5,17.9,15.8,64054.0,10.9,30.0,0.0,23.7,65.1,0.0
70,Coimbatore,Sesamum,Mid-season,1.1,36.9,28.1,16.3,5.62,6.18,10.5,10.4,32.9,133204.0,30.3,34.0,38.0,65.9,74.0,63.3
71,Krishnagiri,Turmeric,Mid-season,1.05,27.4,17.6,16.0,4.66,4.9,1.6,1.6,32.6,132089.0,25.4,37.8,0.0,55.2,82.1,0.0
72,Nagapattinam,Coconut,Late-season,1.0,32.6,26.1,13.7,3.81,3.81,6.2,6.1,20.5,83045.0,43.2,50.3,0.0,93.8,109.4,0.0
73,Kovilpatti,Sunflower,Mid-season,1.15,29.2,21.5,15.0,4.12,4.74,9.8,9.6,23.6,95425.0,73.3,38.9,0.0,159.3,84.5,0.0
74,Nilgiris,Coconut,Initial,1.0,31.2,21.4,21.1,6.7,6.7,11.4,11.2,35.7,144649.0,21.4,46.9,0.0,46.5,102.0,0.0
75,Kovilpatti,Sesamum,Late-season,0.68,35.5,29.3,19.4,5.55,3.74,9.6,9.4,16.8,67966.0,29.3,26.1,0.0,63.7,56.7,0.0
76,Madurai,Onion,Mid-season,1.05,32.8,25.8,15.9,4.52,4.75,10.3,10.2,23.1,93459.0,0.0,44.9,0.0,0.0,97.6,0.0
77,Vellore,Cotton,Late-season,0.92,29.0,22.9,20.8,5.15,4.77,16.3,15.9,17.5,70648.0,0.0,31.9,0.0,0.0,69.3,0.0
78,Coimbatore,Turmeric,Late-season,0.98,30.9,21.9,14.0,4.27,4.17,10.7,10.5,18.7,75487.0,38.1,25.3,0.0,82.9,55.0,0.0
79,Madurai,Sesamum,Development,0.73,32.3,25.8,16.4,4.49,3.25,25.1,24.1,0.0,0.0,59.1,34.9,0.0,128.6,75.9,0.0
80,Coimbatore,Sesamum,Mid-season,1.1,33.2,26.9,22.4,6.17,6.79,2.1,2.1,45.4,183750.0,0.0,51.4,13.9,0.0,111.7,23.1
81,Nagapattinam,Sugarcane,Mid-season,1.25,33.3,24.9,14.5,4.53,5.66,6.0,5.9,33.7,136533.0,42.2,35.4,0.0,91.7,77.0,0.0
82,Nagapattinam,Sesamum,Late-season,0.68,33.0,23.6,12.3,3.99,2.69,2.6,2.5,16.3,66064.0,61.8,15.7,0.0,134.3,34.1,0.0
83,Kovilpatti,Sugarcane,Mid-season,1.25,30.1,24.1,16.4,4.16,5.21,9.5,9.4,27.1,109549.0,14.3,40.8,0.0,31.1,88.7,0.0
84,Krishnagiri,Pulses,Mid-season,1.1,33.1,23.6,17.1,5.58,6.14,1.4,1.4,41.6,168372.0,59.1,19.8,11.7,128.5,43.1,19.5
85,Kovilpatti,Sugarcane,Late-season,1.0,32.5,25.2,19.4,5.65,5.65,10.9,10.7,28.8,116729.0,0.0,25.2,0.0,0.0,54.8,0.0
86,Coimbatore,Sesamum,Mid-season,1.1,36.8,29.8,20.9,6.53,7.18,12.1,11.9,38.4,155449.0,0.0,50.7,0.0,0.0,110.2,0.0
87,Thanjavur,Chili,Mid-season,1.05,34.6,24.8,17.1,5.85,6.14,1.5,1.5,41.5,168102.0,0.0,44.6,30.8,0.0,96.9,51.3
88,Nagapattinam,Banana,Initial,0.5,32.9,23.8,18.6,5.94,2.97,11.8,11.5,9.2,37352.0,37.5,54.0,0.0,81.5,117.4,0.0
89,Tirunelveli,Groundnut,Mid-season,1.1,31.4,22.0,21.6,6.77,7.45,11.9,11.6,40.5,163956.0,4.5,42.6,45.9,9.8,92.7,76.5
90,Thanjavur,Cotton,Mid-season,1.15,31.3,23.8,18.8,5.35,6.15,27.6,26.4,16.7,67559.0,7.1,43.0,7.6,15.4,93.5,12.6
91,Vellore,Groundnut,Mid-season,1.1,33.6,24.4,21.1,6.89,7.58,5.3,5.2,47.9,193674.0,0.0,31.8,0.0,0.0,69.0,0.0
92,Trichy,Maize,Development,0.75,28.7,20.9,17.6,4.83,3.63,7.3,7.2,18.1,73386.0,99.6,41.5,0.0,216.5,90.3,0.0
93,Thanjavur,Sorghum,Initial,0.3,33.0,24.5,15.5,4.84,1.45,9.7,9.5,0.6,2483.0,0.0,26.8,0.0,0.0,58.2,0.0
94,Trichy,Sunflower,Development,0.75,26.9,20.3,24.4,5.94,4.45,12.9,12.6,18.5,75018.0,0.0,39.4,3.9,0.0,85.7,6.5
95,Nilgiris,Sesamum,Late-season,0.68,33.2,24.3,17.1,5.43,3.67,16.4,16.0,9.7,39282.0,0.0,47.1,0.0,0.0,102.3,0.0
96,Madurai,Pulses,Mid-season,1.1,31.4,22.8,24.2,7.32,8.05,0.7,0.7,55.7,225390.0,30.3,41.6,0.0,65.9,90.5,0.0
97,Thanjavur,Pulses,Mid-season,1.1,33.1,26.3,19.4,5.52,6.07,9.1,9.0,33.5,135524.0,37.0,33.8,0.0,80.5,73.5,0.0
98,Tirunelveli,Turmeric,Initial,0.3,34.9,25.5,14.3,4.86,1.46,10.3,10.2,0.0,198.0,0.0,27.1,0.0,0.0,58.9,0.0
99,Vellore,Sunflower,Late-season,0.75,34.6,26.1,15.2,4.93,3.69,10.6,10.4,15.5,62621.0,0.0,24.3,0.0,0.0,52.9,0.0
100,Krishnagiri,Groundnut,Development,0.75,32.1,23.8,17.9,5.45,4.09,27.9,26.7,2.0,7985.0,20.1,41.8,0.0,43.8,90.9,0.0
101,Nagapattinam,Coconut,Development,1.0,32.5,25.2,22.0,6.39,6.39,4.8,4.7,40.0,161856.0,70.7,21.9,0.0,153.6,47.6,0.0
102,Madurai,Banana,Mid-season,1.1,29.2,20.6,22.6,6.54,7.2,13.1,12.8,37.5,151908.0,0.0,14.8,0.0,0.0,32.2,0.0
103,Madurai,Sesamum,Mid-season,1.1,32.6,22.9,15.9,5.19,5.71,3.0,3.0,37.0,149627.0,56.2,31.0,0.0,122.3,67.3,0.0
104,Krishnagiri,Groundnut,Mid-season,1.1,34.4,27.8,16.2,4.66,5.13,9.0,8.8,27.1,109486.0,26.7,21.4,0.0,58.0,46.5,0.0
105,Coimbatore,Groundnut,Late-season,0.85,32.9,24.4,25.0,7.78,6.61,16.3,15.8,30.5,123277.0,35.7,21.3,0.0,77.5,46.2,0.0
106,Trichy,Sugarcane,Mid-season,1.25,34.3,27.0,20.0,6.07,7.59,3.1,3.0,50.1,202558.0,16.7,18.0,0.0,36.2,39.1,0.0
107,Coimbatore,Onion,Late-season,0.9,35.7,26.2,18.6,6.43,5.78,3.1,3.0,37.4,151540.0,1.2,35.7,0.0,2.7,77.7,0.0
108,Tirunelveli,Sorghum,Development,0.68,29.0,21.2,17.1,4.71,3.18,2.1,2.1,20.2,81663.0,55.9,37.2,0.0,121.5,80.8,0.0
109,Madurai,Sugarcane,Late-season,1.0,25.5,19.4,25.9,5.92,5.92,3.3,3.3,38.1,154175.0,52.1,47.3,0.0,113.2,102.9,0.0
110,Thanjavur,Turmeric,Late-season,0.98,40.3,34.2,21.3,6.64,6.48,2.2,2.2,43.1,174471.0,0.0,32.7,0.0,0.0,71.1,0.0
111,Krishnagiri,Onion,Development,0.88,33.5,26.3,23.2,6.85,5.99,7.5,7.4,34.5,139559.0,4.1,37.8,0.0,8.8,82.1,0.0
112,Trichy,Coconut,Initial,1.0,32.3,24.1,23.2,7.05,7.05,6.4,6.3,43.1,174243.0,51.4,36.6,11.4,111.8,79.5,18.9
113,Nilgiris,Turmeric,Development,0.68,34.5,26.9,15.1,4.66,3.14,14.7,14.3,7.7,31160.0,0.0,43.9,0.0,0.0,95.4,0.0
114,Tirunelveli,Sesamum,Initial,0.35,30.9,22.4,25.7,7.65,2.68,1.5,1.5,17.3,69894.0,13.2,15.1,0.0,28.7,32.8,0.0
115,Krishnagiri,Turmeric,Development,0.68,29.0,20.5,21.3,6.08,4.1,0.5,0.5,28.2,114241.0,14.3,32.3,0.0,31.0,70.2,0.0
116,Madurai,Maize,Initial,0.3,35.8,29.4,20.7,6.08,1.82,2.6,2.6,10.2,41301.0,0.0,18.2,0.0,0.0,39.6,0.0
117,Madurai,Turmeric,Late-season,0.98,33.7,24.2,14.3,4.75,4.64,8.4,8.3,24.1,97698.0,101.3,38.4,0.0,220.3,83.4,0.0
118,Kovilpatti,Groundnut,Mid-season,1.1,29.4,23.1,20.7,5.23,5.76,1.5,1.5,38.8,156836.0,10.4,19.0,0.0,22.6,41.4,0.0
119,Coimbatore,Turmeric,Late-season,0.98,26.0,19.5,17.5,4.16,4.05,29.2,27.9,0.5,1947.0,5.2,42.4,20.7,11.3,92.2,34.5
120,Thanjavur,Turmeric,Mid-season,1.05,33.8,25.0,16.6,5.37,5.64,0.7,0.7,38.7,156772.0,23.4,28.5,0.0,51.0,61.9,0.0
121,Thanjavur,Rice,Mid-season,1.2,33.0,23.0,21.5,7.16,8.59,15.3,14.9,45.2,183019.0,40.2,45.3,0.0,87.3,98.4,0.0
122,Thanjavur,Onion,Initial,0.7,32.1,24.5,20.6,6.03,4.22,3.4,3.4,26.2,105935.0,59.6,18.0,0.0,129.5,39.1,0.0
123,Thanjavur,Coconut,Mid-season,1.0,37.2,30.5,20.7,6.35,6.35,5.6,5.5,38.9,157564.0,0.0,18.9,26.5,0.0,41.2,44.1
124,Vellore,Rice,Development,1.12,32.4,23.0,14.0,4.51,5.07,3.9,3.9,31.6,127909.0,0.0,35.4,0.0,0.0,76.9,0.0
125,Thanjavur,Coconut,Late-season,1.0,31.3,24.8,17.8,4.77,4.77,2.9,2.9,30.5,123572.0,46.4,46.9,0.0,101.0,101.9,0.0
126,Coimbatore,Chili,Mid-season,1.05,30.8,22.7,15.9,4.63,4.86,17.4,16.9,17.1,69228.0,2.1,32.6,6.2,4.6,71.0,10.4
127,Coimbatore,Chili,Mid-season,1.05,32.9,25.0,18.5,5.59,5.87,0.2,0.2,41.0,165728.0,0.0,15.2,0.0,0.0,33.0,0.0
128,Thanjavur,Sugarcane,Late-season,1.0,29.6,19.8,16.0,4.91,4.91,6.4,6.3,28.1,113759.0,0.0,29.5,0.0,0.0,64.0,0.0
129,Krishnagiri,Turmeric,Mid-season,1.05,34.3,24.9,22.6,7.58,7.96,4.0,4.0,51.7,209341.0,40.7,24.7,2.2,88.6,53.6,3.7
130,Kovilpatti,Rice,Development,1.12,31.9,24.1,20.1,5.91,6.65,4.8,4.8,41.8,169049.0,0.0,14.4,0.0,0.0,31.3,0.0
131,Kovilpatti,Chili,Late-season,0.98,25.7,17.9,19.6,4.99,4.86,38.2,35.9,0.0,0.0,53.4,12.7,0.0,116.1,27.6,0.0
132,Madurai,Coconut,Mid-season,1.0,26.4,19.5,18.4,4.52,4.52,25.7,24.7,7.0,28358.0,0.0,15.5,0.0,0.0,33.7,0.0
133,Thanjavur,Pulses,Mid-season,1.1,33.1,24.7,21.5,6.71,7.39,1.4,1.4,50.3,203717.0,18.9,18.9,0.0,41.0,41.0,0.0
134,Vellore,Sugarcane,Mid-season,1.25,26.6,18.6,15.4,4.04,5.04,16.9,16.5,18.9,76303.0,0.0,20.9,56.9,0.0,45.5,94.9
135,Trichy,Onion,Mid-season,1.05,29.9,21.7,20.5,5.88,6.18,33.4,31.6,11.6,46907.0,0.0,33.2,0.0,0.0,72.3,0.0
136,Nilgiris,Banana,Mid-season,1.1,34.7,25.8,16.4,5.44,5.98,1.3,1.3,40.6,164105.0,37.1,29.8,0.0,80.6,64.7,0.0
137,Trichy,Maize,Development,0.75,32.4,23.2,16.4,5.23,3.92,1.8,1.8,25.6,103739.0,0.0,43.2,14.3,0.0,93.9,23.8
138,Coimbatore,Sunflower,Mid-season,1.15,34.3,28.2,16.6,4.65,5.35,25.4,24.3,13.1,53123.0,0.0,28.5,34.3,0.0,62.0,57.2
139,Thanjavur,Sunflower,Development,0.75,38.2,28.6,17.8,6.48,4.86,7.2,7.1,26.9,108847.0,69.5,20.7,25.9,151.1,45.1,43.2
140,Kovilpatti,Chili,Mid-season,1.05,36.8,30.5,23.6,7.0,7.35,6.6,6.5,44.9,181742.0,0.0,19.7,0.0,0.0,42.8,0.0
141,Thanjavur,Coconut,Initial,1.0,32.5,23.3,17.6,5.61,5.61,9.8,9.7,29.6,119669.0,0.0,26.6,0.0,0.0,57.9,0.0
142,Nagapattinam,Cotton,Mid-season,1.15,32.4,23.5,15.9,5.01,5.76,8.1,8.0,32.4,130954.0,0.0,47.2,0.0,0.0,102.7,0.0
143,Coimbatore,Sunflower,Mid-season,1.15,31.5,24.2,15.6,4.45,5.12,0.2,0.2,35.6,144111.0,0.0,34.2,0.0,0.0,74.4,0.0
144,Trichy,Millets,Late-season,0.75,32.6,24.7,15.7,4.68,3.51,0.7,0.7,23.9,96780.0,4.6,42.0,0.0,9.9,91.4,0.0
145,Nilgiris,Onion,Mid-season,1.05,34.2,25.6,17.3,5.57,5.84,25.1,24.1,16.8,68032.0,9.9,25.8,0.0,21.5,56.1,0.0
146,Vellore,Sesamum,Mid-season,1.1,32.3,26.1,17.4,4.71,5.18,0.5,0.5,35.8,144772.0,0.0,54.6,0.0,0.0,118.7,0.0
147,Nagapattinam,Banana,Late-season,1.05,35.1,28.9,19.3,5.51,5.78,4.3,4.3,36.2,146324.0,0.0,33.6,41.1,0.0,73.0,68.6
148,Nagapattinam,Chili,Initial,0.6,34.7,28.1,16.8,4.88,2.93,15.2,14.8,5.7,22968.0,0.0,44.8,0.0,0.0,97.3,0.0
149,Vellore,Groundnut,Mid-season,1.1,30.5,22.7,19.3,5.5,6.05,5.3,5.3,37.1,150238.0,12.1,32.4,12.5,26.3,70.5,20.9
150,Trichy,Pulses,Late-season,0.73,30.0,22.1,17.1,4.82,3.49,1.4,1.4,23.0,93129.0,29.9,18.2,25.0,65.1,39.6,41.6
151,Madurai,Millets,Late-season,0.75,32.1,22.2,14.3,4.66,3.5,11.8,11.6,12.9,52152.0,0.0,39.3,4.6,0.0,85.3,7.7
152,Vellore,Banana,Mid-season,1.1,42.6,32.7,19.3,7.74,8.52,2.7,2.7,56.9,230405.0,55.6,43.8,0.0,120.9,95.3,0.0
153,Thanjavur,Rice,Initial,1.05,35.9,28.7,21.0,6.52,6.84,15.6,15.2,32.7,132362.0,50.8,37.8,0.0,110.5,82.2,0.0
154,Thanjavur,Onion,Mid-season,1.05,31.5,25.1,19.6,5.22,5.48,5.6,5.6,32.8,132746.0,46.8,39.7,0.0,101.7,86.3,0.0
155,Tirunelveli,Turmeric,Late-season,0.98,29.4,23.4,18.2,4.56,4.45,6.6,6.5,24.6,99676.0,0.0,45.0,2.4,0.0,97.9,4.0
156,Vellore,Turmeric,Development,0.68,34.8,26.9,18.5,5.81,3.92,3.5,3.5,23.9,96906.0,0.0,16.6,0.0,0.0,36.2,0.0
157,Tirunelveli,Sunflower,Initial,0.35,31.3,23.9,17.8,5.05,1.77,4.8,4.8,7.6,30794.0,21.4,28.6,53.1,46.5,62.2,88.4
158,Tirunelveli,Cotton,Initial,0.35,36.7,28.0,22.6,7.69,2.69,0.6,0.6,18.3,73911.0,11.4,45.6,0.0,24.7,99.1,0.0
159,Tirunelveli,Millets,Late-season,0.75,31.2,24.9,15.4,4.06,3.05,11.5,11.3,10.0,40495.0,1.7,16.4,10.5,3.6,35.7,17.5
160,Thanjavur,Cotton,Late-season,0.92,33.9,27.9,17.9,4.9,4.53,3.8,3.8,27.9,113069.0,2.9,30.7,35.2,6.4,66.7,58.6
161,Krishnagiri,Cotton,Initial,0.35,34.0,26.9,19.6,5.79,2.03,15.6,15.2,0.0,0.0,0.0,51.9,0.0,0.0,112.9,0.0
162,Coimbatore,Sesamum,Development,0.73,34.8,25.4,20.0,6.79,4.93,6.2,6.2,28.3,114606.0,0.0,32.1,0.0,0.0,69.8,0.0
163,Madurai,Sorghum,Development,0.68,35.0,28.7,23.6,6.74,4.55,16.8,16.3,15.5,62705.0,48.0,22.3,0.0,104.4,48.5,0.0
