location,district_soil_type,crop_type,year,season,soil_ph,soil_ec_dS_m,organic_carbon_pct,available_nitrogen_kg_ha,available_phosphorus_kg_ha,available_potassium_kg_ha,area_hectares,yield_kg_per_hectare,production_kg
vellore,Red Sandy Loam,Pulses,2017,Summer,7.1,0.46,0.47,353.4,13.9,156.1,7.22,737.8,5323.4
trichy,Black Cotton Soil,Rice,2024,Rabi,7.01,0.07,0.74,209.3,25.3,209.4,0.39,3643.8,1417.6
vellore,Red Sandy Loam,Millets,2016,Rabi,6.36,0.66,0.42,213.3,8.0,166.0,0.34,1188.8,407.2
kovilpatti,Red Sandy Loam,Rice,2020,Kharif,6.04,0.63,0.97,301.9,8.9,186.1,0.79,3304.5,2617.3
nilgiris,Lateritic Hill Soil,Rice,2019,Summer,7.92,0.35,0.13,214.8,18.8,220.1,1.4,2979.2,4156.9
thanjavur,Alluvial Clay (Delta),Rice,2015,Summer,7.16,0.66,0.34,252.3,20.9,252.7,1.77,3187.1,5641.1
madurai,Black Clay Loam,Sugarcane,2017,Rabi,7.44,0.35,0.59,293.1,15.2,176.4,2.15,67766.6,145541.0
vellore,Red Sandy Loam,Millets,2023,Kharif,6.83,0.55,0.89,127.5,27.7,257.0,0.25,1145.5,281.7
krishnagiri,Red Loam,Pulses,2019,Kharif,5.88,0.68,0.72,202.4,9.9,197.2,0.89,918.4,816.1
tirunelveli,Red Loam,Cotton,2018,Kharif,6.99,0.42,0.57,275.7,13.1,366.5,0.62,497.0,310.5
thanjavur,Alluvial Clay (Delta),Sugarcane,2021,Kharif,6.08,0.81,0.63,245.4,18.5,201.9,0.45,75121.8,34044.1
nagapattinam,Coastal Alluvial,Rice,2024,Rabi,7.49,0.35,0.42,321.6,5.8,329.9,4.26,3129.4,13339.9
madurai,Black Clay Loam,Millets,2024,Kharif,6.2,0.56,0.7,173.7,22.6,181.6,0.2,844.3,168.9
kovilpatti,Red Sandy Loam,Pulses,2019,Rabi,5.66,0.57,0.52,257.1,15.2,235.2,0.33,666.8,218.2
kovilpatti,Red Sandy Loam,Sugarcane,2020,Rabi,6.22,0.74,0.41,231.4,14.4,198.4,0.33,62115.1,20789.9
thanjavur,Alluvial Clay (Delta),Rice,2022,Rabi,6.35,0.27,0.28,193.7,15.0,216.5,0.59,3380.7,1997.0
tirunelveli,Red Loam,Sugarcane,2020,Rabi,5.9,0.79,0.2,248.5,24.2,198.3,2.71,56929.5,154046.5
madurai,Black Clay Loam,Cotton,2019,Rabi,7.0,0.43,0.61,256.7,3.3,156.9,0.57,452.4,260.1
coimbatore,Red Sandy Loam,Sugarcane,2019,Rabi,6.83,0.36,0.67,175.9,17.1,228.4,0.47,72221.8,33748.3
kovilpatti,Red Sandy Loam,Rice,2022,Summer,6.95,0.86,0.57,333.1,19.0,300.7,1.48,3248.1,4812.4
krishnagiri,Red Loam,Sugarcane,2019,Rabi,7.38,0.26,0.69,303.5,7.4,137.2,4.22,59833.0,252561.5
thanjavur,Alluvial Clay (Delta),Cotton,2020,Kharif,6.51,0.72,0.75,259.8,17.9,275.7,0.54,474.2,255.0
coimbatore,Red Sandy Loam,Rice,2017,Summer,6.78,0.23,0.65,284.8,16.3,363.9,0.34,3221.7,1096.8
nilgiris,Lateritic Hill Soil,Sorghum,2017,Kharif,6.48,0.29,0.53,177.9,14.7,136.1,1.26,1325.6,1670.2
nagapattinam,Coastal Alluvial,Cotton,2020,Summer,6.83,0.2,0.56,250.7,18.2,276.0,0.48,454.5,220.3
krishnagiri,Red Loam,Pulses,2022,Rabi,7.31,0.25,0.56,298.1,12.2,225.6,1.07,653.3,697.5
nagapattinam,Coastal Alluvial,Sugarcane,2024,Summer,6.92,0.24,0.42,193.6,15.9,235.3,2.05,71944.6,147194.2
tirunelveli,Red Loam,Cotton,2016,Summer,7.74,0.56,0.97,323.5,6.0,294.7,0.74,480.8,356.3
vellore,Red Sandy Loam,Sorghum,2020,Kharif,7.3,0.33,0.3,311.3,17.8,232.2,4.49,1455.1,6531.6
trichy,Black Cotton Soil,Pulses,2015,Rabi,7.1,0.25,0.57,285.1,8.0,258.0,2.64,721.2,1905.0
tirunelveli,Red Loam,Millets,2015,Kharif,6.2,0.82,0.6,227.2,18.8,273.5,0.7,1070.8,745.2
tirunelveli,Red Loam,Cotton,2020,Rabi,8.04,0.06,0.27,253.8,14.5,238.3,0.27,491.8,132.3
tirunelveli,Red Loam,Pulses,2015,Kharif,6.44,0.52,0.43,245.2,17.1,301.7,0.27,739.7,200.5
nagapattinam,Coastal Alluvial,Sugarcane,2017,Kharif,6.46,0.31,0.7,254.6,22.9,100.5,2.07,80705.4,166885.5
tirunelveli,Red Loam,Sugarcane,2020,Kharif,6.56,0.45,0.89,259.6,16.7,278.1,4.27,60873.7,259631.9
tirunelveli,Red Loam,Sorghum,2020,Rabi,7.53,0.27,0.37,270.8,17.9,293.8,2.43,1422.6,3463.9
krishnagiri,Red Loam,Cotton,2018,Rabi,7.41,0.44,0.92,215.6,19.6,62.9,1.1,481.0,528.7
thanjavur,Alluvial Clay (Delta),Sugarcane,2022,Kharif,5.26,0.37,0.82,360.0,22.3,329.7,3.16,70262.5,221744.5
trichy,Black Cotton Soil,Rice,2024,Kharif,7.0,0.62,0.36,187.5,19.2,177.8,0.2,3342.0,668.4
tirunelveli,Red Loam,Sugarcane,2022,Kharif,6.75,0.61,1.06,271.4,14.5,210.7,0.73,70390.9,51728.6
nagapattinam,Coastal Alluvial,Rice,2020,Rabi,5.81,0.14,0.1,249.7,22.7,253.0,0.33,2446.4,796.8
coimbatore,Red Sandy Loam,Cotton,2015,Kharif,7.91,0.68,0.5,173.6,33.4,224.1,0.2,380.8,76.2
tirunelveli,Red Loam,Pulses,2015,Kharif,7.2,0.67,0.47,141.0,22.2,236.4,1.38,804.1,1106.6
kovilpatti,Red Sandy Loam,Rice,2020,Summer,6.59,0.38,0.27,193.3,11.3,342.7,0.2,3094.0,618.8
vellore,Red Sandy Loam,Cotton,2023,Summer,6.34,0.3,0.43,394.3,18.9,276.9,3.93,392.4,1542.8
vellore,Red Sandy Loam,Rice,2017,Rabi,7.55,0.53,0.49,176.5,14.4,202.0,1.81,3145.3,5678.8
tirunelveli,Red Loam,Millets,2016,Rabi,7.08,0.5,0.7,300.3,15.0,196.9,3.2,1128.4,3606.9
coimbatore,Red Sandy Loam,Pulses,2023,Rabi,6.58,0.54,0.58,181.4,17.9,243.4,0.36,863.9,312.6
nagapattinam,Coastal Alluvial,Rice,2023,Summer,5.13,0.57,0.31,177.3,16.7,240.8,2.07,2893.4,5986.4
trichy,Black Cotton Soil,Rice,2019,Rabi,5.82,0.56,0.95,283.1,15.2,256.9,0.2,3359.0,671.8
nagapattinam,Coastal Alluvial,Sugarcane,2021,Rabi,7.39,0.42,0.71,263.0,3.8,195.6,1.66,71413.4,118800.8
nilgiris,Lateritic Hill Soil,Sugarcane,2019,Summer,6.25,0.18,0.35,303.2,12.3,404.3,1.96,68389.5,134139.2
kovilpatti,Red Sandy Loam,Rice,2018,Summer,6.91,0.57,0.25,239.7,14.0,101.7,2.65,3289.2,8725.0
coimbatore,Red Sandy Loam,Cotton,2023,Kharif,7.79,0.31,0.36,378.2,23.9,178.4,5.89,464.7,2737.6
kovilpatti,Red Sandy Loam,Millets,2022,Summer,7.41,0.61,0.67,317.2,24.4,188.2,1.21,1178.2,1425.6
nilgiris,Lateritic Hill Soil,Cotton,2024,Summer,6.86,0.34,0.16,223.2,20.1,178.9,0.39,412.0,158.7
madurai,Black Clay Loam,Pulses,2018,Summer,6.22,0.72,0.1,320.9,25.8,283.2,1.18,582.2,687.5
tirunelveli,Red Loam,Sugarcane,2022,Rabi,6.64,0.48,0.63,124.2,14.1,293.0,1.77,68436.8,121117.8
madurai,Black Clay Loam,Sorghum,2024,Rabi,7.33,0.59,0.56,313.4,13.9,184.3,1.78,1129.1,2007.1
vellore,Red Sandy Loam,Millets,2023,Rabi,6.64,0.32,0.9,250.1,17.9,210.6,0.63,1193.2,756.9
coimbatore,Red Sandy Loam,Cotton,2015,Kharif,7.25,0.44,0.6,333.0,12.0,288.9,5.21,452.9,2360.3
madurai,Black Clay Loam,Cotton,2021,Summer,7.48,0.38,0.67,209.8,15.5,212.7,5.68,454.2,2577.5
trichy,Black Cotton Soil,Cotton,2023,Summer,7.1,0.58,1.04,246.5,7.7,231.9,4.1,477.4,1956.8
tirunelveli,Red Loam,Pulses,2022,Kharif,8.21,0.64,0.38,249.9,15.8,260.9,0.25,698.3,174.3
vellore,Red Sandy Loam,Cotton,2019,Summer,7.0,0.41,0.39,157.2,13.6,217.7,0.2,483.8,96.8
coimbatore,Red Sandy Loam,Sugarcane,2015,Rabi,4.71,0.28,0.79,260.6,25.9,140.8,1.5,69092.6,103733.4
tirunelveli,Red Loam,Millets,2015,Summer,6.58,0.53,0.69,270.1,23.1,290.6,2.51,1260.3,3169.8
krishnagiri,Red Loam,Sugarcane,2024,Kharif,6.58,0.28,0.41,269.7,20.5,248.0,1.27,69710.6,88863.7
kovilpatti,Red Sandy Loam,Rice,2022,Kharif,6.83,0.39,0.59,255.0,27.5,213.3,1.8,3308.0,5962.4
coimbatore,Red Sandy Loam,Sugarcane,2020,Rabi,7.25,0.65,0.41,237.5,30.1,168.2,1.62,63365.1,102922.6
kovilpatti,Red Sandy Loam,Pulses,2017,Summer,6.7,0.34,0.93,153.1,4.8,250.8,2.13,731.3,1557.3
thanjavur,Alluvial Clay (Delta),Rice,2018,Rabi,7.06,0.5,0.48,333.0,11.3,138.0,2.32,3049.8,7075.6
kovilpatti,Red Sandy Loam,Cotton,2022,Rabi,7.18,0.43,0.77,260.6,20.7,259.9,2.58,476.4,1227.5
tirunelveli,Red Loam,Sugarcane,2019,Rabi,7.55,0.55,0.34,237.0,20.2,167.0,1.01,64900.2,65729.6
trichy,Black Cotton Soil,Pulses,2019,Kharif,5.94,0.16,0.94,357.8,15.7,243.0,2.3,794.5,1830.1
nagapattinam,Coastal Alluvial,Cotton,2020,Kharif,6.79,0.34,0.5,215.8,32.4,218.4,2.18,433.6,946.2
kovilpatti,Red Sandy Loam,Rice,2015,Kharif,6.82,0.36,0.77,277.9,12.1,244.6,0.24,3385.2,808.2
trichy,Black Cotton Soil,Cotton,2020,Kharif,6.84,0.32,0.69,263.6,23.4,264.5,0.75,467.2,348.7
nilgiris,Lateritic Hill Soil,Pulses,2024,Summer,7.37,0.53,0.99,217.8,19.2,147.8,2.81,739.0,2074.2
krishnagiri,Red Loam,Sorghum,2016,Rabi,6.24,0.6,0.32,273.9,15.0,234.8,0.2,1304.4,260.9
coimbatore,Red Sandy Loam,Rice,2022,Kharif,5.8,0.2,0.26,253.5,24.3,337.9,1.2,2799.7,3360.5
madurai,Black Clay Loam,Rice,2018,Rabi,6.27,0.18,0.42,102.9,15.1,263.6,2.69,3291.6,8864.2
nilgiris,Lateritic Hill Soil,Millets,2016,Summer,5.88,0.31,0.52,186.4,17.2,332.7,1.56,875.1,1364.2
thanjavur,Alluvial Clay (Delta),Rice,2021,Rabi,6.0,0.66,0.76,222.3,18.1,213.4,1.64,2789.7,4585.0
nilgiris,Lateritic Hill Soil,Sorghum,2020,Rabi,6.47,0.33,0.16,186.8,20.5,373.3,5.34,1122.6,5997.2
nagapattinam,Coastal Alluvial,Pulses,2018,Kharif,5.82,0.69,0.85,250.7,15.2,345.4,3.59,845.2,3037.6
thanjavur,Alluvial Clay (Delta),Rice,2016,Kharif,8.18,0.6,0.56,284.0,17.5,225.5,0.2,2530.5,506.1
nilgiris,Lateritic Hill Soil,Millets,2019,Rabi,6.88,0.54,0.52,305.2,5.4,425.6,1.98,1218.4,2410.6
nilgiris,Lateritic Hill Soil,Millets,2021,Rabi,6.18,0.57,0.39,212.5,14.4,212.8,0.5,1024.0,515.9
nilgiris,Lateritic Hill Soil,Cotton,2022,Kharif,7.46,0.69,0.68,171.4,27.8,139.8,0.2,467.0,94.8
nagapattinam,Coastal Alluvial,Sugarcane,2023,Summer,6.65,0.4,0.74,311.4,10.6,261.8,2.88,77502.7,223007.7
tirunelveli,Red Loam,Sugarcane,2015,Rabi,6.7,0.45,0.33,153.6,27.6,160.7,0.89,56119.0,49692.5
kovilpatti,Red Sandy Loam,Sorghum,2020,Rabi,6.62,0.21,0.61,316.2,22.2,439.9,5.45,1448.5,7888.9
madurai,Black Clay Loam,Pulses,2019,Kharif,6.11,0.14,0.84,130.6,32.0,270.8,2.61,758.0,1975.1
coimbatore,Red Sandy Loam,Sorghum,2021,Summer,7.31,0.21,0.86,234.2,9.5,187.3,1.73,1377.2,2381.4
coimbatore,Red Sandy Loam,Millets,2017,Rabi,7.71,0.6,0.43,144.8,17.2,208.9,2.06,995.7,2048.5
krishnagiri,Red Loam,Cotton,2024,Kharif,6.0,0.73,0.53,205.3,18.4,253.0,1.66,429.5,711.5
trichy,Black Cotton Soil,Sugarcane,2020,Kharif,7.15,0.68,0.46,175.1,19.1,238.6,1.46,61118.1,89480.5
vellore,Red Sandy Loam,Sorghum,2018,Summer,6.17,0.32,0.61,189.9,30.9,136.9,2.4,1372.7,3299.0
madurai,Black Clay Loam,Cotton,2021,Kharif,7.53,0.77,0.24,256.1,26.8,102.0,1.24,386.8,478.1
trichy,Black Cotton Soil,Sugarcane,2021,Kharif,7.78,0.56,0.88,217.3,16.8,179.3,0.46,63631.4,29439.5
nagapattinam,Coastal Alluvial,Millets,2015,Rabi,6.49,0.49,0.28,289.4,28.1,280.9,0.47,941.6,444.8
madurai,Black Clay Loam,Millets,2016,Rabi,6.69,0.78,0.63,197.7,17.7,259.1,0.35,1094.9,379.9
nagapattinam,Coastal Alluvial,Rice,2023,Summer,6.36,0.7,0.77,276.5,11.4,197.9,8.8,3301.6,29064.3
nagapattinam,Coastal Alluvial,Pulses,2019,Rabi,7.27,0.61,0.41,257.9,24.0,133.3,0.2,724.1,144.8
thanjavur,Alluvial Clay (Delta),Cotton,2021,Rabi,6.11,0.14,0.31,196.9,25.9,222.7,0.59,426.0,251.6
trichy,Black Cotton Soil,Millets,2019,Rabi,6.48,0.05,0.56,371.5,22.1,246.1,2.3,1319.9,3036.4
tirunelveli,Red Loam,Millets,2023,Summer,6.09,0.38,0.34,318.8,18.3,231.9,3.11,1060.5,3299.9
trichy,Black Cotton Soil,Pulses,2018,Summer,7.29,0.29,0.62,297.0,3.0,212.4,2.7,753.2,2032.8
thanjavur,Alluvial Clay (Delta),Rice,2020,Kharif,6.83,0.4,0.29,146.2,10.0,239.5,0.43,3364.0,1440.8
vellore,Red Sandy Loam,Cotton,2021,Summer,6.74,0.31,0.72,272.9,12.5,326.5,0.47,514.9,240.9
coimbatore,Red Sandy Loam,Millets,2018,Kharif,7.1,0.91,0.34,227.5,17.2,289.3,0.39,940.3,366.4
krishnagiri,Red Loam,Sugarcane,2020,Kharif,5.72,0.44,0.52,216.5,17.9,280.4,0.27,60704.5,16113.5
krishnagiri,Red Loam,Sugarcane,2015,Kharif,6.79,0.57,0.57,181.6,25.2,208.9,0.2,61835.0,12367.0
thanjavur,Alluvial Clay (Delta),Millets,2016,Summer,6.78,0.18,0.23,328.3,16.7,173.2,2.1,1177.4,2469.4
kovilpatti,Red Sandy Loam,Rice,2016,Rabi,7.29,0.31,0.55,318.7,12.3,68.7,0.46,3193.8,1479.9
tirunelveli,Red Loam,Sugarcane,2015,Summer,7.39,0.4,0.57,254.2,15.3,163.8,0.63,75827.2,48008.4
thanjavur,Alluvial Clay (Delta),Sorghum,2021,Summer,6.53,0.36,0.61,197.5,13.3,281.6,0.2,1479.7,295.9
nagapattinam,Coastal Alluvial,Cotton,2016,Summer,6.35,0.39,0.5,319.7,21.3,251.9,0.2,529.3,105.9
madurai,Black Clay Loam,Rice,2019,Summer,6.83,0.5,0.86,270.5,21.2,295.1,0.25,3524.4,869.6
krishnagiri,Red Loam,Cotton,2023,Summer,6.67,0.05,0.74,209.3,13.4,234.7,1.23,473.0,583.5
kovilpatti,Red Sandy Loam,Sugarcane,2017,Rabi,6.98,0.5,0.72,191.2,25.3,210.2,2.35,73408.5,172272.5
trichy,Black Cotton Soil,Pulses,2023,Rabi,7.5,0.8,0.61,259.3,13.9,136.3,0.75,734.0,553.8
trichy,Black Cotton Soil,Sorghum,2019,Kharif,7.2,0.74,0.58,188.6,16.9,291.2,0.32,1497.7,472.8
coimbatore,Red Sandy Loam,Sorghum,2015,Summer,6.95,0.71,0.47,255.6,9.6,270.4,0.37,1543.0,578.5
nagapattinam,Coastal Alluvial,Sugarcane,2023,Rabi,6.94,0.5,0.72,287.9,24.8,274.9,3.32,73944.4,245565.6
nilgiris,Lateritic Hill Soil,Millets,2018,Rabi,4.79,0.49,0.74,154.9,7.4,113.2,2.85,1092.3,3108.1
thanjavur,Alluvial Clay (Delta),Cotton,2021,Summer,8.13,0.39,0.58,198.7,29.2,352.1,1.67,450.9,750.9
tirunelveli,Red Loam,Cotton,2017,Rabi,7.16,0.66,0.72,244.9,25.8,156.7,2.39,443.5,1061.6
kovilpatti,Red Sandy Loam,Rice,2018,Kharif,7.71,0.58,0.35,351.2,25.3,260.7,0.23,3398.5,770.4
krishnagiri,Red Loam,Cotton,2024,Kharif,6.62,0.35,0.33,248.5,7.4,242.6,0.54,427.0,230.7
nilgiris,Lateritic Hill Soil,Sorghum,2019,Kharif,5.96,0.05,0.69,233.8,23.5,320.0,0.2,1336.0,267.2
thanjavur,Alluvial Clay (Delta),Cotton,2018,Kharif,6.2,0.25,0.37,261.3,16.7,161.2,2.56,395.2,1013.5
nilgiris,Lateritic Hill Soil,Cotton,2020,Kharif,6.48,0.45,0.57,172.1,7.4,148.1,4.14,434.0,1797.3
krishnagiri,Red Loam,Sugarcane,2024,Rabi,7.11,0.14,0.44,287.7,10.5,240.5,1.12,61598.6,69131.6
nagapattinam,Coastal Alluvial,Sugarcane,2023,Kharif,6.36,0.29,0.59,308.9,11.9,224.3,3.54,69233.6,245142.5
trichy,Black Cotton Soil,Cotton,2015,Rabi,6.89,0.43,0.38,164.0,17.7,188.6,0.96,494.9,472.7
krishnagiri,Red Loam,Pulses,2022,Summer,7.64,0.46,0.42,236.5,14.2,262.2,0.54,673.9,363.0
thanjavur,Alluvial Clay (Delta),Pulses,2022,Kharif,6.23,0.26,0.64,335.0,20.3,348.0,0.2,889.7,177.9
tirunelveli,Red Loam,Millets,2015,Rabi,6.22,0.45,0.76,270.3,25.9,180.2,6.01,1126.0,6764.6
vellore,Red Sandy Loam,Millets,2023,Kharif,5.94,0.69,0.66,285.9,16.8,134.7,2.14,1101.7,2360.5
madurai,Black Clay Loam,Sorghum,2017,Summer,6.6,0.37,0.36,265.4,30.4,145.3,0.2,1382.1,276.4
krishnagiri,Red Loam,Cotton,2021,Kharif,6.94,0.68,0.84,168.7,16.5,222.3,1.35,443.1,597.8
nagapattinam,Coastal Alluvial,Millets,2016,Rabi,6.92,0.38,0.62,222.3,19.0,312.2,2.23,1069.9,2385.6
nagapattinam,Coastal Alluvial,Sugarcane,2022,Rabi,5.63,0.48,0.57,142.6,19.0,178.1,4.24,72478.7,307586.1
tirunelveli,Red Loam,Rice,2024,Summer,7.53,0.75,0.75,214.1,20.4,218.3,1.81,3239.8,5863.8
madurai,Black Clay Loam,Sorghum,2022,Summer,6.33,0.51,0.5,275.2,15.2,281.0,2.13,1225.7,2613.7
nagapattinam,Coastal Alluvial,Pulses,2019,Summer,6.5,0.74,0.62,253.2,22.1,178.4,0.2,767.4,153.5
trichy,Black Cotton Soil,Sorghum,2021,Summer,7.25,0.42,0.36,306.4,17.3,67.9,6.77,1461.4,9900.1
thanjavur,Alluvial Clay (Delta),Cotton,2023,Rabi,6.67,0.53,0.46,285.0,19.2,242.2,2.94,415.9,1223.4
krishnagiri,Red Loam,Cotton,2017,Summer,7.45,0.16,0.5,138.0,21.2,272.2,1.64,380.8,626.0
thanjavur,Alluvial Clay (Delta),Millets,2022,Rabi,7.37,0.79,0.53,229.9,18.4,301.3,0.2,1091.1,218.2
kovilpatti,Red Sandy Loam,Sugarcane,2023,Kharif,7.5,0.23,0.53,180.8,15.2,320.3,1.84,64078.6,117712.5
krishnagiri,Red Loam,Millets,2018,Rabi,6.26,0.26,0.62,238.8,14.3,111.6,4.0,1152.5,4607.2
tirunelveli,Red Loam,Millets,2024,Kharif,6.92,0.17,0.1,206.2,31.7,129.8,1.61,771.9,1241.8
trichy,Black Cotton Soil,Cotton,2015,Rabi,6.98,0.51,0.49,132.3,9.3,197.8,0.91,400.7,364.6
kovilpatti,Red Sandy Loam,Sugarcane,2017,Summer,7.31,0.67,0.55,354.1,17.6,170.4,0.99,63102.2,62230.9
vellore,Red Sandy Loam,Sugarcane,2019,Kharif,5.85,0.63,0.45,248.8,27.7,282.8,0.22,61261.1,13407.6
madurai,Black Clay Loam,Sugarcane,2017,Summer,5.47,0.75,0.45,270.7,17.0,305.8,0.81,71705.4,57990.0
nilgiris,Lateritic Hill Soil,Pulses,2016,Summer,6.92,0.6,0.63,278.2,18.4,167.9,0.28,763.9,210.8
tirunelveli,Red Loam,Sorghum,2015,Summer,6.68,0.34,0.57,249.6,11.8,308.6,1.9,1303.7,2479.1
coimbatore,Red Sandy Loam,Pulses,2016,Summer,6.85,0.29,0.6,303.1,14.6,127.0,1.08,863.5,929.6
krishnagiri,Red Loam,Sorghum,2024,Summer,7.07,0.77,0.71,180.8,26.9,202.3,0.28,1243.0,344.2
vellore,Red Sandy Loam,Cotton,2015,Summer,7.59,0.73,0.44,227.4,7.9,163.6,2.03,363.7,740.1
thanjavur,Alluvial Clay (Delta),Millets,2020,Kharif,7.56,0.46,0.63,134.0,9.3,161.3,1.2,984.2,1185.4
nilgiris,Lateritic Hill Soil,Sugarcane,2024,Kharif,5.96,0.16,0.1,166.8,18.1,230.9,0.2,54169.5,10833.9
kovilpatti,Red Sandy Loam,Sugarcane,2020,Kharif,7.0,0.49,0.31,334.4,19.5,204.7,0.65,76456.4,49545.6
tirunelveli,Red Loam,Rice,2015,Kharif,6.04,0.28,0.56,269.6,23.8,92.3,0.27,3655.2,986.2
thanjavur,Alluvial Clay (Delta),Sorghum,2015,Summer,6.25,0.51,0.73,357.6,24.8,188.6,0.2,1324.9,265.0
kovilpatti,Red Sandy Loam,Sugarcane,2018,Rabi,6.95,0.54,0.77,245.9,19.8,192.6,0.24,68192.1,16365.3
nilgiris,Lateritic Hill Soil,Millets,2020,Kharif,7.32,0.45,0.68,253.0,15.9,85.3,1.22,1091.8,1328.8
kovilpatti,Red Sandy Loam,Pulses,2022,Summer,6.94,0.05,1.09,223.8,25.2,196.4,2.6,834.0,2170.9
nagapattinam,Coastal Alluvial,Millets,2015,Kharif,6.85,0.57,0.1,279.4,19.2,218.7,2.09,1006.6,2108.9
tirunelveli,Red Loam,Pulses,2024,Rabi,7.66,0.71,0.44,300.8,19.3,340.8,2.84,797.6,2264.0
coimbatore,Red Sandy Loam,Sugarcane,2022,Kharif,5.94,0.54,0.65,261.0,22.0,204.4,2.31,63722.4,147307.1
thanjavur,Alluvial Clay (Delta),Pulses,2020,Summer,6.32,0.39,0.17,252.8,18.0,162.8,2.85,682.8,1944.8
madurai,Black Clay Loam,Rice,2022,Summer,6.85,0.54,0.48,144.4,13.5,187.2,0.2,2853.5,570.7
krishnagiri,Red Loam,Sugarcane,2021,Kharif,5.91,0.5,0.85,211.3,21.6,160.5,3.63,76454.8,277564.0
trichy,Black Cotton Soil,Millets,2018,Rabi,6.69,0.61,0.36,268.6,21.0,294.2,0.28,1317.7,365.7
krishnagiri,Red Loam,Rice,2021,Summer,6.38,0.37,0.45,249.1,13.1,298.5,0.2,2934.9,587.0
trichy,Black Cotton Soil,Pulses,2015,Summer,6.81,0.26,1.04,268.8,17.0,208.1,1.5,822.5,1232.3
madurai,Black Clay Loam,Millets,2018,Rabi,6.7,0.64,0.5,285.4,17.6,358.7,0.88,1233.3,1088.7
nilgiris,Lateritic Hill Soil,Sugarcane,2019,Summer,7.36,0.49,0.56,176.7,24.4,234.2,1.86,64757.4,120438.3
nilgiris,Lateritic Hill Soil,Cotton,2019,Rabi,6.8,0.57,0.26,102.2,14.7,134.6,0.83,449.1,373.3
madurai,Black Clay Loam,Cotton,2023,Rabi,6.61,0.66,0.53,280.2,11.6,111.2,0.26,481.6,127.3
krishnagiri,Red Loam,Millets,2016,Summer,7.45,0.18,0.86,194.3,19.2,209.6,0.61,1046.8,638.5
trichy,Black Cotton Soil,Pulses,2024,Kharif,6.7,0.6,0.45,226.3,12.0,50.0,1.36,719.0,979.8
trichy,Black Cotton Soil,Millets,2022,Kharif,7.12,0.44,0.95,253.0,24.3,169.4,2.67,1193.4,3184.4
trichy,Black Cotton Soil,Sugarcane,2024,Summer,6.81,0.15,0.28,224.3,10.3,135.6,2.42,59490.2,143847.5
